inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2017-11-30,1,"PP Operaciones CxA",13003,"CH Cordon Negro B. Freixenet 2010 (75cl)",550.00,550.00,0.30
2017-11-30,1,"PP Operaciones CxA",13003,"CH Cordon Negro B. Freixenet 2010 (75cl)",550.00,550.00,12.00
2017-11-30,1,"PP Operaciones CxA",13004,"TI Mauro Tudela de Duero (75cl)",629.00,629.00,6.00
2017-11-30,1,"PP Operaciones CxA",13008,"TI Leyda Res. Pinot Noir (75cl)",550.00,550.00,10.00
2017-11-30,1,"PP Operaciones CxA",13019,"TI Prado Rey Crianza (75cl)",765.00,765.00,6.00
2017-11-30,1,"PP Operaciones CxA",13021,"Ti Tarapaca Gran reserva Tarapaca (75cl)",730.00,730.00,3.00
2017-11-30,1,"PP Operaciones CxA",13021,"Ti Tarapaca Gran reserva Tarapaca (75cl)",730.00,730.00,8.00
2017-11-30,1,"PP Operaciones CxA",13022,"Bl Martin Codax Albarino (75cl)",615.00,615.00,14.00
2017-11-30,1,"PP Operaciones CxA",13022,"Bl Martin Codax Albarino (75cl)",615.00,615.00,0.00
2017-11-30,1,"PP Operaciones CxA",13023,"TI Catena Malbec (75cl)",732.00,732.00,0.00
2017-11-30,1,"PP Operaciones CxA",13023,"TI Catena Malbec (75cl)",732.00,732.00,8.00
2017-11-30,1,"PP Operaciones CxA",11719,"Whisky Dewar´s Signature (75cl)",7722.39,7722.39,1.00
2017-11-30,1,"PP Operaciones CxA",11720,"Vodka Grey Goose La Poire (75CL)",1186.10,1186.10,4.00
2017-11-30,1,"PP Operaciones CxA",11720,"Vodka Grey Goose La Poire (75CL)",1186.10,1186.10,0.30
2017-11-30,1,"PP Operaciones CxA",11720,"Vodka Grey Goose La Poire (75CL)",1186.10,1186.10,1.00
2017-11-30,1,"PP Operaciones CxA",11720,"Vodka Grey Goose La Poire (75CL)",1186.10,1186.10,0.30
2017-11-30,1,"PP Operaciones CxA",11721,"Tequila Cazadores (75cl)",1227.43,1227.43,1.00
2017-11-30,1,"PP Operaciones CxA",11721,"Tequila Cazadores (75cl)",1227.43,1227.43,1.80
2017-11-30,14,"Jalao SRL",12319,"Manzana Verde (1und)",35.88,35.88,18.00
2017-11-30,14,"Jalao SRL",12332,"Azucar Refinada",22.03,22.03,0.00
2017-11-30,14,"Jalao SRL",12366,Laurel,18.95,18.95,0.00
2017-11-30,14,"Jalao SRL",12370,"Harina de trigo princesa",25.00,25.00,375.00
2017-11-30,14,"Jalao SRL",12371,"Maiz en grano (16oz)",38.31,38.31,80.00
2017-11-30,14,"Jalao SRL",12374,"Queso De Hoja",150.00,150.00,69.00
2017-11-30,14,"Jalao SRL",12377,"Tomate Ensalada",30.00,30.00,40.00
2017-11-30,14,"Jalao SRL",12378,"Guineo verde",14.00,14.00,20.00
2017-11-30,14,"Jalao SRL",12379,"Platano verde (1und)",11.00,11.00,225.00
2017-11-30,14,"Jalao SRL",12380,"Papa Selecta Blanca",20.50,20.50,145.00
2017-11-30,14,"Jalao SRL",12381,"Semillas de cajuil",370.00,370.00,14.00
2017-11-30,14,"Jalao SRL",12382,ALMEJA,186.40,186.40,0.00
2017-11-30,14,"Jalao SRL",12384,"Leche Liquida ",50.00,50.00,86.00
2017-11-30,14,"Jalao SRL",12385,"Rabo de res",145.00,145.00,12.00
2017-11-30,14,"Jalao SRL",12386,Yuca,14.00,14.00,50.00
2017-11-30,14,"Jalao SRL",12388,"Huevos (1und)",6.00,6.00,0.00
2017-11-30,14,"Jalao SRL",12390,"Puratos S-500 levapan",99.70,99.70,15.00
2017-11-30,14,"Jalao SRL",12392,"Oregano fresco",75.00,75.00,10.00
2017-11-30,14,"Jalao SRL",12393,"Harina blanquita ",23.17,23.17,225.00
2017-11-30,14,"Jalao SRL",12394,"Pimienta Negra en Grano",350.00,350.00,9.00
2017-11-30,14,"Jalao SRL",12395,"Chen chen ",15.00,15.00,65.00
2017-11-30,14,"Jalao SRL",12396,"Queso cheddar ",140.00,140.00,33.00
2017-11-30,14,"Jalao SRL",12397,"Crema Leche ",135.00,135.00,0.00
2017-11-30,14,"Jalao SRL",12399,"Cebolla blanca",49.00,49.00,150.00
2017-11-30,14,"Jalao SRL",12400,"Cilantro ( verdura )",65.00,65.00,0.00
2017-11-30,14,"Jalao SRL",12401,"Yautia Coco",55.00,55.00,0.00
2017-11-30,14,"Jalao SRL",12403,Batata,18.00,18.00,95.00
2017-11-30,14,"Jalao SRL",12404,"Nuez moscada molida",182.20,182.20,3.00
2017-11-30,14,"Jalao SRL",12405,"Levadura Fresca En Pasta Levapan",68.00,68.00,10.00
2017-11-30,14,"Jalao SRL",12406,"Ajo Entero",164.00,164.00,20.00
2017-11-30,14,"Jalao SRL",12408,"Calamar Tubo U/10",105.00,105.00,265.00
2017-11-30,14,"Jalao SRL",12409,"Camarones 16/20",215.00,215.00,250.00
2017-11-30,14,"Jalao SRL",12412,"Helado De Vainilla (1cubo/20lbs)",155.00,155.00,15.00
2017-11-30,14,"Jalao SRL",12413,"Harina De Maiz Mazorca (14Oz)",10.80,10.80,33.00
2017-11-30,14,"Jalao SRL",12414,"Leche De Coco ( 13.5oz)",38.67,38.67,42.00
2017-11-30,14,"Jalao SRL",12416,"Aguacate (1und)",55.00,55.00,27.00
2017-11-30,14,"Jalao SRL",12417,"Perejil liso",120.00,120.00,3.00
2017-11-30,14,"Jalao SRL",12419,gengobre,165.25,165.25,0.00
2017-11-30,14,"Jalao SRL",12420,vinagre,75.00,75.00,0.00
2017-11-30,14,"Jalao SRL",12422,"Quinoa Roja (1paq/12oz)",218.75,218.75,0.00
2017-11-30,14,"Jalao SRL",12423,"Platano Maduro (1und)",11.00,11.00,232.00
2017-11-30,14,"Jalao SRL",12428,"Pasas S/Semillas",65.00,65.00,10.00
2017-11-30,14,"Jalao SRL",12431,"Catibia  (1und)",11.66,11.66,0.00
2017-11-30,14,"Jalao SRL",12432,"Aji Cubanela",45.00,45.00,5.00
2017-11-30,14,"Jalao SRL",12433,"Mantequilla Multiuso",195.00,195.00,120.00
2017-11-30,14,"Jalao SRL",12434,"Maiz Mazorca  (1paq/4maiz)",99.00,99.00,0.00
